121.196.211.154,3128,北京
120.78.78.141,8888,长城宽带
122.72.18.35,80,甘肃
121.43.178.58,3128,河北
114.115.140.25,3128,铁通
119.28.152.208,80,北京
211.159.177.212,3128,北京
139.224.80.139,3128,
60.205.125.201,8888,广东深圳
122.72.18.34,80,甘肃
183.57.36.87,8888,广东佛山
203.174.112.13,3128,北京
114.250.25.19,80,北京
118.212.137.135,31288,江西
139.129.166.68,3128,北京
114.113.126.87,80,北京
114.113.126.86,80,北京
114.113.126.83,80,北京
119.122.29.94,9000,广东深圳市罗湖区
219.223.251.173,3128,广东深圳
120.77.254.116,3128,长城宽带
140.143.96.216,80,
119.27.177.169,80,福建厦门
218.20.55.100,9797,广东广州市天河区
114.113.126.82,80,北京
59.78.9.145,1080,上海
183.30.197.228,9797,广东惠州
27.44.161.123,9999,广东东莞
101.200.144.28,3128,北京
218.20.55.116,9999,广东广州市天河区
121.199.42.198,3129,北京
183.33.192.207,9797,广东珠海
58.252.6.165,9000,广东东莞
218.20.54.53,9797,广东广州市天河区
120.9.73.66,9999,河北邯郸
114.249.117.183,9000,北京
182.91.62.26,9999,广西桂林
59.38.61.204,9797,广东珠海
218.20.54.31,9797,广东广州市天河区
222.186.12.102,57624,江苏镇江
14.116.153.16,3128,广东珠海
218.20.54.213,9797,广东广州市天河区
183.30.197.120,9797,广东惠州
113.92.95.245,9797,广东深圳
27.44.172.239,9999,广东东莞
112.67.183.164,9797,海南海口
121.239.3.98,3128,江苏徐州
119.123.178.132,9000,广东深圳
218.20.54.113,9797,广东广州市天河区
27.44.158.73,9999,广东东莞
218.20.55.66,9797,广东广州市天河区
27.46.51.239,9797,广东深圳
113.88.208.148,9797,广东深圳
121.13.84.193,9797,广东东莞
218.20.55.127,9999,广东广州市天河区
180.76.135.10,3128,北京
222.222.169.60,53281,河北保定
218.6.145.11,9797,四川德阳
27.44.171.103,9797,广东东莞
112.112.136.162,9999,云南昆明
180.175.4.29,9000,上海
14.153.54.217,3128,广东深圳
14.153.55.209,3128,广东深圳
120.84.136.251,9000,广东东莞
163.125.158.155,8888,广东深圳
58.251.232.102,9797,广东深圳
163.125.72.97,9999,广东深圳
14.153.52.179,3128,广东深圳
163.125.156.203,9999,广东深圳
27.44.168.6,9999,广东东莞
115.152.211.203,1080,江西景德镇
122.136.212.132,53281,吉林
27.44.171.112,9797,广东东莞
222.186.45.116,55336,江苏镇江
220.198.97.154,9999,广东湛江
163.125.157.31,8888,广东深圳
27.44.157.158,9999,广东东莞
163.125.157.32,8888,广东深圳
113.118.97.143,9797,广东深圳
183.30.197.54,9797,广东惠州
113.76.96.51,9797,广东珠海
121.13.84.243,808,广东东莞
218.20.54.179,9797,广东广州市天河区
112.67.166.245,9797,海南海口
120.26.14.14,3128,北京
183.172.18.171,8118,北京
27.46.74.23,9999,广东深圳
202.101.187.183,808,浙江杭州
113.76.96.74,9797,广东珠海
14.211.117.224,9797,广东佛山
125.62.26.75,3128,重庆
14.153.54.72,3128,广东深圳
113.93.224.54,9797,广东江门
221.237.113.177,8118,四川成都
116.30.122.84,9000,广东深圳
183.30.197.160,9797,广东惠州
113.77.240.158,9797,广东东莞
112.248.15.216,9999,山东枣庄
119.123.246.28,9000,广东深圳
14.153.53.92,3128,广东深圳
